,original,first_digit,second_digit
1865,656.26,6,5
1873,350.43,3,5
1877,"45,355.60",4,5
1883,"8,525.80",8,5
1927,"65,628.04",6,5
1933,"4,557.26",4,5
1938,"15,462.50",1,5
1946,45.75,4,5
1969,"6,565.92",6,5
1970,153.85,1,5
1990,"1,516.59",1,5
2013,"3,525.35",3,5
2039,353.49,3,5
2048,"7,537.20",7,5
2080,953.37,9,5
2127,"6,552.00",6,5
15,87.35,8,7
33,84.24,8,4
54,806.42,8,0
71,89.84,8,9
88,895.62,8,9
93,897.89,8,9
111,"8,409.72",8,4
112,"8,972.90",8,9
139,"8,037.79",8,0
212,889.18,8,8
285,"8,152.57",8,1
323,"8,135.42",8,1
365,"8,298.46",8,2
410,"8,320.79",8,3
422,"8,218.42",8,2
425,"8,015.95",8,0
444,"8,611.49",8,6
445,899.44,8,9
511,"8,772.80",8,7
543,"8,157.78",8,1
550,"8,779.51",8,7
586,"82,336.65",8,2
601,"8,998.55",8,9
605,892.49,8,9
641,81.61,8,1
649,"8,832.00",8,8
650,"8,395.97",8,3
671,888.80,8,8
715,"8,482.02",8,4
747,"8,497.69",8,4
752,841.69,8,4
762,84.22,8,4
782,"8,639.21",8,6
787,889.68,8,8
790,82.54,8,2
835,82.50,8,2
847,"8,771.10",8,7
860,800.00,8,0
894,"8,742.00",8,7
897,"8,018.22",8,0
916,884.04,8,8
927,"81,366.57",8,1
962,"8,140.98",8,1
979,"8,803.13",8,8
981,899.65,8,9
1009,86.25,8,6
1027,"8,971.04",8,9
1055,"8,063.75",8,0
1127,"8,311.39",8,3
1133,88.75,8,8
1144,"8,439.20",8,4
1185,"8,817.54",8,8
1190,876.12,8,7
1193,839.19,8,3
1228,"8,908.86",8,9
1252,"8,803.50",8,8
1253,"8,331.46",8,3
1295,"8,902.91",8,9
1302,"88,006.27",8,8
1317,"8,678.66",8,6
1332,84.67,8,4
1333,"8,847.29",8,8
1340,"8,852.93",8,8
1393,"8,904.00",8,9
1412,"8,484.29",8,4
1416,"8,358.00",8,3
1421,"83,660.42",8,3
1460,"8,120.92",8,1
1502,"8,020.56",8,0
1515,8.42,8,NaN
1519,"8,869.58",8,8
1545,82.67,8,2
1550,"8,846.56",8,8
1565,-8.42,8,NaN
1579,"8,916.25",8,9
1581,"8,302.78",8,3
1591,804.69,8,0
1596,"8,257.01",8,2
1626,"8,798.80",8,7
1644,"8,184.96",8,1
1646,"80,767.28",8,0
1679,"8,148.84",8,1
1695,"8,857.34",8,8
1697,"8,794.12",8,7
1741,808.08,8,0
1828,"8,149.59",8,1
1867,831.77,8,3
1907,"8,435.56",8,4
1915,87.40,8,7
1986,806.29,8,0
1993,"8,331.90",8,3
2001,"8,350.45",8,3
2033,"8,846.52",8,8
2040,897.38,8,9
2111,860.89,8,6
2113,889.97,8,8
2125,"8,978.05",8,9
